2437 A, A
11107 ALBERGHI, GL
15891 ALBERICO, WM
11600 ALBERS, J
12804 ALBERT, J
7723 ALBERTS, F
14800 ALBERTSON, C
3906 AL, BLE
1161 ALBRECHT, A
9092 ALBRECHT, P
12660 ALBROW, MD
4853 ALBROW, TPCM
10668 ALBROW, TPCMD
10256 ALBUQUERQUE, IFM
3069 ALBURGER, DE
3862 AL, CAE
1674 ALCALA, JM
13629 ALCALDE, D
12592 ALCANIZ, JS
8393 AL, CKE
205 ALCOCK, C
7249 ALCOCK, TMCC
9459 ALCOLEA, J
14022 AL, CSE
16543 ALCUBIERRE, M
4400 ALDCROFT, BWT
4842 ALDCROFT, T
5801 ALDCROFT, TL
8673 ALDERING, G
3855 AL, DMCE
2563 AL, E
9982 ALECIAN, G
8005 AL, ECNPE
4924 AL, EE
12299 ALEKSANDROVICH, NL
15764 ALENCAR, S
10332 AL, EPE
6157 ALEV, M
16043 ALEXANDER, DM
6363 ALEXANDER, DR
3019 ALEXANDER, FADR
6312 ALEXANDER, J
3446 ALEXANDER, P
13004 ALEXANDER, S
15586 ALEXANDER, SHS
378 ALEXANDER, T
13260 AL, FAAE
10685 AL, FAE
16114 ALFARO, EJ
14662 ALFARO, J
10672 AL, FBE
10453 AL, FHE
3066 ALFINITO, E
14959 ALFORD, M
14093 AL, GCCAE
14701 AL, GCPE
6164 AL, HCADE
6593 AL, HFAE
16565 ALHUJAJ, A
2118 ALI, B
9755 ALIBERT, Y
12348 ALIBES, A
335 ALIGHIERI, SDS
2431 ALIMI, ASJ
12921 ALIMI, ASJM
2595 ALIMI, J
2451 ALIMI, JM
1500 ALI, S
4878 ALISES, M
7845 AL, JAE
388 AL, KGCLBEAAJBE
12470 AL, KHKE
14842 ALLAHVERDYAN, AE
9527 ALLAIN, S
1924 ALLAMANDOLA, LJ
13923 ALLAM, SS
11809 ALLAN, A
6013 ALLAN, DJ
3010 ALLARD, F
3438 ALLARD, NF
1362 ALLEN, B
16544 ALLEN, G
12986 ALLEN, GD
7084 ALLEN, GE
13695 ALLEN, L
3926 ALLEN, LA
7780 ALLEN, LE
8954 ALLEN, LLRJ
8883 ALLEN, MG
9650 ALLEN, ML
5531 ALLEN, MP
16068 ALLEN, PPPML
16331 ALLEN, R
7760 ALLEN, RCC
9481 ALLEN, RE
6030 ALLEN, RG
6249 ALLEN, RJ
815 ALLEN, SW
12969 ALLEN, TBRJ
5769 ALLEN, WH
16292 ALLEN, ZA
12569 ALLER, H
6223 ALLER, HAM
9334 ALLER, HD
15951 ALLER, LH
12568 ALLER, M
9335 ALLER, MF
13816 ALLEY, CO
833 ALLINGTONSMITH, J
5702 ALLOIN, D
9708 ALLSMAN, R
206 ALLSMAN, RA
14033 AL, MAE
2088 ALMAINI, O
13465 AL, MASE
14490 ALMEIDA, LD
12118 AL, MHE
3482 ALMOZNINO, E
11884 AL, MSE
16129 ALNAIMIY, HMK
15498 AL, NME
9682 ALNOWAISER, AA
13126 ALOISI, A
15728 ALOISIO, R
12557 ALONSOHERRERO, A
3554 ALONSO, MV
12307 ALONSO, O
15040 ALOY, M
12911 ALOY, MA
6158 ALPAR, A
692 ALPAR, MA
9521 AL, PGE
2100 AL, PLNE
2580 AL, RAE
3858 AL, RAEE
3857 AL, RSWE
11094 AL, SDBE
14031 AL, SHRE
3589 AL, SJOE
3856 AL, SKE
124 AL, SOE
13164 AL, TAE
4093 ALTAMORE, A
7124 ALTAN, H
4312 ALTENA, WFV
10496 ALTENA, WV
14125 ALTHAUS, L
11874 ALTHAUS, LG
7004 AL, TICBME
7000 AL, TICMRE
6998 AL, TICPGE
6999 AL, TICSOE
6997 AL, TICSSE
9545 ALTIERI, B
7472 ALTMANN, M
14585 ALTON, P
10554 ALTON, PB
16441 A, LV
12527 ALVAREZ, D
14917 ALVAREZ, DL
8829 ALVAREZ, E
14404 ALVAREZ, MA
6637 ALVAREZMUNIZ, J
7343 ALVAREZ, R
8004 ALVENSLEBEN, UF
987 ALVENSLEBEN, UFV
1570 ALVES, D
14756 ALVES, DA
1177 ALVES, DR
10086 ALVES, J
7111 AL, WFVAE
6861 ALWIS, DD
16131 ALWIS, HSPD
12818 AL, XFE
2596 ALY, J
610 A, M
14186 AMARI, RGS
11261 AMARI, S
7176 AMATI, L
15041 AMATO, E
6029 AMBASTHA, A
16175 AMBROSIO, M
8607 AMELINOCAMELIA, G
14 AMENDOLA, L
14432 AMENOMORI, M
6399 AMICI, A
3843 AMICI, GD
9353 AMICO, P
5704 AMPAIGN, UH
9909 AMRAM, JGBP
9401 AMRAM, P
15784 AMROSE, S
6430 AMSTERDAMPROUST, JVPNA
461 A, MTG
3563 AMY, SW
13804 ANABUKI, N
9916 ANAGNOSTOPOULOS, K
12802 ANANDARAO, BG
8475 ANAND, R
11812 ANANTHARAMAIAH, KR
14830 ANANTH, AV
15886 ANCHORDOQUI, L
7390 ANCHORDOQUI, LA
13917 ANCKER, MEVD
9678 ANDELMAN, D
1201 ANDERNACH, H
1349 ANDERNACH, HJ
8609 ANDERSEN, AC
11937 ANDERSEN, DR
9567 ANDERSEN, M
8129 ANDERSEN, MI
3477 ANDERSEN, V
12645 ANDERSON, A
12312 ANDERSON, BBSF
9332 ANDERSON, CM
4169 ANDERSON, GW
8225 ANDERSON, J
2349 ANDERSON, JD
10645 ANDERSON, KSJ
7287 ANDERSON, M
16180 ANDERSON, PW
8198 ANDERSON, RF
9455 ANDERSON, SB
4352 ANDERSON, SF
11468 ANDERS, S
2856 ANDERSSON, N
7651 ANDES, MHISDDL
4934 AND, GAL
9627 AND, JM
12749 AND, LT
11857 ANDO, M
11709 ANDRADE, LCGD
12648 ANDRADE, Z
3109 AND, RD
30 ANDREANI, P
14745 ANDREDAKIS, Y
8646 ANDREDAKIS, YC
2378 ANDREON, S
5525 ANDRE, P
13634 ANDRES, E
10292 ANDREUZZI, G
14002 ANDREWS, P
9935 ANDRIANOV, AA
10124 ANDRIEVSKY, SM
11351 ANDRONOV, N
13082 ANDRUCHOW, I
15742 ANEZ, N
13262 ANFIMOV, DS
13 ANGELANTONJ, C
4874 ANGELINI, L
4328 ANGEL, JRP
7404 ANGEL, R
15702 ANGUELOV, V
8834 ANGULO, C
11646 ANH, NT
11639 ANILE, AM
2445 ANNAN, JD
13302 ANN, HB
2024 ANNINOS, P
6876 ANNIS, J
12127 ANNIS, JA
12717 ANNU, B
8504 ANOUSHIRVANI, B
8036 ANRAKU, K
7861 ANSALONI, R
538 ANSARI, R
7694 ANTHONYTWAROG, BJ
6027 ANTIA, HM
10280 ANTIOCHOS, SK
12444 ANTIPOVA, J
12340 ANTOKHIN, II
16049 ANTONELLI, A
6645 ANTONELLI, LA
9645 ANTONELLO, E
13656 ANTONELLO, GTLPE
5161 ANTONIADIS, I
9108 ANTONI, M
12202 ANTONIOU, N
15937 ANTONI, T
9413 ANTONSEN, F
15725 ANTONUCCI, E
1661 ANTONUCCIODELOGU, V
4644 ANTONUCCI, R
14470 ANTONUCCI, RRJ
3960 ANTUNES, ND
4316 ANUPAMA, GC
10234 ANZER, U
14289 A, O
702 AO, CO
12129 AOKI, K
11919 AOKI, M
963 APARICIO, A
15734 APARICIO, GPA
5895 APARICIO, J
15938 APEL, WD
12413 APOSTOLATOS, TA
9811 APPENZELLER, I
7337 APPLEGATE, JH
11524 APPLETON, CCPN
2278 APPLETON, PN
5396 APPL, S
3429 APPODIA, B
7928 APPOURCHAUX, T
11586 APPS, K
15243 APPS, SSVGWMRPBK
12544 APRILE, E
16435 A, PS
6403 APTEKAR, R
12585 APTEKAR, RL
15543 APUNEVYCH, S
10572 ARABADJIS, JS
1337 ARAGONSALAMANCA, A
9034 ARAKI, M
15474 ARAUJO, FXD
420 ARAUJO, JCND
13189 ARAUJO, M
8866 ARAV, N
15420 ARAYAGOCHEZ, RA
4033 ARAYA, RA
11496 ARBAB, AI
12844 ARBER, TD
13057 ARBIZZANI, E
9583 ARCE, HG
7901 ARCETRI, IOAD
7696 ARCHIBALD, E
11511 ARCHIBALD, EN
929 ARDAVAN, H
7188 ARDELJAN, NV
6489 ARDI, E
16432 ARDILA, DR
7577 AREFEVA, IY
8986 ARENDT, PN
10220 ARENDT, RG
7012 ARENOU, F
2370 ARENS, JF
15854 ARENTOFT, T
10096 ARET, A
1195 ARETXAGA, I
15053 ARGAST, D
12468 ARGUESO, F
15520 ARGUESO, JMDF
11116 ARGYRES, PC
15394 ARIKAWA, Y
1780 ARIMOTO, N
11727 ARISTE, AL
12057 ARIZONA, UO
10872 ARKANIHAMED, N
9653 ARKHIPOVA, NA
11267 ARLANDINI, C
2448 ARMANDROFF, T
4834 ARMANDROFF, TE
13245 ARMENDARIZPICON, C
15266 ARMINJON, M
446 ARMITAGE, PJ
14103 ARMOUR, M
13885 ARMSTRONG, M
9848 ARMSTRONG, P
2374 ARMUS, L
7993 ARNABOLDI, M
9178 ARNAUD, KA
1292 ARNAUD, M
3017 ARNAU, JV
12286 ARNDT, S
5825 ARNETT, D
6204 ARNOLD, JM
2682 ARNOULD, M
6614 ARNOUTS, S
8214 ARNOWITT, R
4647 ARONS, J
7301 ARPESELLA, C
8538 ARP, H
14250 ARQUEROS, F
10501 ARRAS, P
11872 ARRIBAS, S
13254 ARRIETA, A
15320 ARRIGHI, H
5522 ARSENAULT, R
13394 ARSHAKIAN, TG
12133 A, RSS
1197 ARTEMOVA, IV
6290 ARTHUR, SJ
12331 ARTIGAU, E
15634 ARTIN, JMM
15849 ARTS, J
15220 ARTUSA, R
14884 ARTYMOWICZ, P
15366 ARTZNER, G
15601 ARUGA, Y
3909 ARZOUMANIAN, Z
2436 A, S
14841 A, SA
4159 ASADA, H
6262 ASAI, K
8518 ASAKA, T
4438 ASANO, K
6509 ASAOKA, I
13793 ASAOKA, Y
13467 ASCASIBAR, Y
591 ASCHENBACH, B
4361 ASCHWANDEN, MJ
15204 ASGEKAR, A
10434 ASHBY, MLN
8432 ASHLEY, M
7782 ASHLEY, MCB
699 ASHMAN, KM
8357 ASHOKA, BN
2834 A, SI
14380 ASIAIN, R
14130 ASIDA, SM
2351 ASMAR, SW
15395 ASO, Y
13914 ASPHAUG, E
10465 ASPIN, C
6095 ASPLUND, M
14453 ASSOUAD, P
14667 ASTONE, P
507 ASTROFISICA, IND
9359 ASTROFISICA, VVT
7918 ASTRONOMY, D
5854 ASTRONOMY, GDF
9749 ASTRONOMY, GTII
6717 ASTRONOMY, IO
5795 ASTRONOMY, PMSDO
12054 ASTRONOMY, RFDO
12059 ASTROPHYSICA, ID
3359 ASTROPHYSIK, IFAU
161 ASTROPHYSIK, MIF
5853 ASTROPHYSIK, MSMF
6505 ASTROPHYSIK, UKMF
15775 ASVAROV, AI
15961 A, T
10286 ATANIA, MG
8912 ATHANASOPOULOS, A
3347 ATHANASSOULA, E
292 ATHAR, H
14654 ATHREYA, R
13739 ATKINS, R
15512 ATKINS, TMCR
6635 ATOYAN, AM
5380 ATRIOBARANDELA, F
11245 ATTARD, A
7520 ATTEIA, J
8400 ATTEIA, JL
12894 ATTRIDGE, JM
5261 AUBOURG, E
15364 AUCHERE, F
5539 AUDANO, R
8621 AUDARD, N
4714 AUDIT, E
1902 AUDOUZE, J
6570 AUERBACH, N
9173 AUFDENBERG, JP
5716 AUGARDE, R
13802 AUGEREAU, JC
4287 AUGUSTEIJN, T
14758 AUGUSTO, P
14655 AURELL, E
12687 AURICH, R
539 AURIERE, M
7053 AUSSEL, H
10051 AUSTIN, S
623 A, V
2977 AVELINO, P
7367 AVELINO, PP
16238 AVE, M
6208 AVERA, E
12259 AVERY, LW
7323 AVIGNONE, FT
4805 AVILAREESE, V
7810 AVILES, R
12220 AVILLEZ, MAD
7454 AVRUCH, IM
1240 A, W
4746 AWAKI, H
9709 AXELROD, T
207 AXELROD, TS
5840 AXENIDES, M
11237 AXFORD, WI
8882 AXON, D
2266 AXON, DJ
9927 AYALA, A
14746 AYAL, S
11281 AYVAZYAN, VT
1239 A, ZJ
1383 BAACKE, J
11077 BAAS, F
13225 BABAK, SV
13199 BABB, JF
15451 BABICHEV, E
9199 BABU, GJ
1662 BABU, KS
1666 BABUL, A
13473 BABUSCI, D
8105 BACCI, C
1089 BACCIGALUPI, C
9133 BACHAS, C
13417 BACHEV, R
5961 BACHILLER, R
9045 BACKER, DC
8470 BACKMAN, DE
4677 BACKUS, PR
3362 BACON, D
11537 BACON, R
906 BACTIVELANE, GRL
1250 BADE, N
14898 BADIA, F
14724 BADIALI, M
12797 BADNELL, NR
8756 BADRAN, HM
2072 BAER, H
15352 BAERNBANTNER, O
14815 BAES, M
9544 BAFFA, C
7815 BAGANOFF, FK
9451 BAGCHI, J
12906 BAGDUEV, RI
14208 BAGGALEY, WJ
10644 BAGGETT, SM
10643 BAGGETT, WE
15668 BAGGIO, L
3266 BAGGLEY, G
745 BAGLA, JS
12507 BAGLIN, A
10019 BAGNULO, S
7394 BAGOLY, Z
9221 BAGOT, P
12763 BAGSCHIK, K
11204 BAGUHL, M
4126 BAHCALL, J
42 BAHCALL, JN
5048 BAHCALL, N
822 BAHCALL, NA
5437 BAIER, FW
3800 BAIER, VN
11131 BAI, JM
3740 BAIKO, DA
7492 BAILERJONES, CAL
1185 BAILES, M
4336 BAILEY, J
14064 BAILEY, VC
11117 BAILIN, D
15359 BAILIN, J
540 BAILLON, P
4940 BAILYN, C
499 BAILYN, CD
10291 BAILYN, JEMCD
15650 BAIRD, S
9694 BAJC, B
12350 BAJTLIK, S
11924 BAK, D
4295 BAKER, A
6897 BAKER, AC
14689 BAKER, AJ
8803 BAKER, AL
15296 BAKER, GA
7219 BAKER, J
5156 BAKER, JC
5964 BAKER, JE
2192 BAKKER, EJ
4150 BAKKER, KJ
15806 BAK, P
8083 BALACHANDRAN, S
6107 BALACHANDRAN, SC
10863 BALAKIN, AB
13197 BALAKRISHNAN, N
10653 BALAM, D
10052 BALANTEKIN, A
1999 BALANTEKIN, AB
5835 BALASUBRAMANIAN, R
8880 BALAYAN, SK
7395 BALAZS, LG
6333 BALBERG, S
1209 BALBES, MJ
4711 BALBI, A
10515 BALBUS, SA
2213 BALCELLS, M
4388 BALDO, M
9860 BALDRY, IK
2345 BALDWIN, J
2763 BALDWIN, JA
8441 BALEGA, Y
11790 BALEGA, YY
7751 BALEISIS, A
6313 BALICK, B
11707 BALIUNAS, S
14738 BALKANOV, V
5394 BALKOWSKI, C
543 BALLAND, C
12474 BALLANTYNE, DR
9404 BALLEGOOIJEN, AAV
7605 BALLEREAU, D
7799 BALLESTER, GE
3056 BALLESTEROSPAREDES, J
6295 BALLET, J
7226 BALLINGER, B
3821 BALLINGER, WE
86 BALL, L
7264 BALLMOOS, PV
2369 BALL, R
6654 BALLY, J
14407 BALMFORTH, NJ
6131 BALOGH, M
7266 BALOGH, ML
2492 BALOGH, W
12753 BALOG, Z
3363 BALONA, LA
11080 BALONEK, TJ
12852 BALSANO, R
14003 BALTAY, C
14620 BALTENSPERGER, W
10596 BALTZ, AJ
6327 BALTZ, EA
2094 BALUCINSKACHURCH, M
15007 BAMBA, A
7297 BAMERT, P
14230 BANAS, K
5382 BANAS, KR
8648 BANCHET, MTV
152 BANCHET, V
8466 BANCHET, WBV
2938 BANDAY, A
391 BANDAY, AJ
4240 BAND, D
125 BAND, DL
3643 BANDIERA, R
4965 BAND, IM
5872 BANDYOPADHYAY, D
8594 BANDYOPADHYAY, R
10661 BANDYOPADHYAY, RM
13065 BANERJEE, S
15297 BANIA, TM
10903 BANKS, G
13589 BANKS, GD
314 BANKS, T
5770 BANKS, TS
10211 BANNIKOVA, LVVEY
12365 BANNISTER, N
3183 BAO, G
6121 BAPTISTA, R
13092 BARABASH, O
3343 BARAFFE, I
11729 BARANDELA, FA
14136 BARANGER, M
12137 BARANOV, VB
15379 BARAT, C
14132 BARBANIS, B
12213 BARBA, R
3626 BARBARO, G
13051 BARBEE, TW
10337 BARBERA, C
11421 BARBER, AJ
14934 BARBERO, J
11962 BARBIELLINI, G
1325 BARBIERI, C
10344 BARBLAN, F
3934 BARBON, R
11075 BARBOSA, ABD
1593 BARBOSA, D
342 BARBUY, B
9321 BARCAROLI, R
16649 BARCELO, C
646 BARCONS, X
1133 BARDEEN, JM
1429 BARDELLI, S
5262 BAREYRE, P
122 BARGE, P
7181 BARGER, A
2246 BARGER, AJ
13188 BARGER, ASAJ
14474 BARGER, LLCAJ
868 BARGER, V
8835 BARHOUMI, S
10484 BARIENTOS, F
3422 BARING, AKHMG
1512 BARING, MG
7572 BARI, PD
2567 BARKANA, R
13328 BARKAT, Z
16355 BARKER, ES
11801 BARKHOUSE, W
16102 BARKHOUSE, WA
9665 BARLOW, MJ
6270 BARLOW, T
2962 BARLOW, TA
7823 BARMBY, P
14588 BARNABY, D
14465 BARNARD, R
7856 BARNEA, N
5848 BARNES, C
13590 BARNES, D
10904 BARNES, DG
11694 BARNES, JE
12016 BARNES, SA
12730 BARNES, T
9812 BARNSTEDT, J
15219 BARNSTEDT, MGJ
2281 BARON, E
11672 BARON, EA
2893 BARONE, F
1363 BARRABES, C
6515 BARRAU, A
5307 BARREIRO, RB
1957 BARREIRO, T
14595 BARRENA, EMVMSAEEFAOMSDALGMRR
2232 BARRET, D
4889 BARRETT, JW
13852 BARRETT, R
15076 BARRETT, RK
11800 BARRIENTOS, F
5199 BARRIENTOS, LF
11393 BARRIGA, J
10839 BARRIO, JA
9124 BARROS, JAD
11055 BARROW, J
198 BARROW, JD
634 BARR, P
5028 BARR, R
10463 BARSHAY, S
12863 BARSONY, M
5529 BARSTOW, M
4986 BARSTOW, MA
15920 BARSUGLIA, M
13430 BARSUKOVA, EA
1072 BARTELMANN, M
15224 BARTEL, N
2204 BARTH, A
3548 BARTH, AJ
5021 BARTHELMY, S
2919 BARTHELMY, SD
9589 BARTHEL, PD
7345 BARTHES, D
10345 BARTHOLDI, P
1551 BARTLETT, JG
9771 BARTLETT, LM
7487 BARTLETT, R
589 BARTLETT, RE
1480 BARTOLINI, C
14346 BARTOLO, N
4469 BARTON, E
10582 BARTON, EJ
5460 BARTON, JR
2985 BARTSCH, A
12791 BARTSCH, T
15061 BARTUNOV, O
5142 BARTUNOV, OS
4645 BARVAINIS, R
6044 BARWICK, HCSW
2755 BARWICK, S
8752 BARWICK, SW
11793 BARWIG, H
8990 BARYSHEV, Y
9528 BARYSHEV, YV
11 BARZIER, KTS
11562 BARZIV, O
10024 BARZOVA, IS
16332 BASART, J
13122 BASA, S
1837 BASEL, AGA
8183 BASEL, U
8750 BASH, F
9062 BASILAKOS, S
13466 BASKERVILLE, K
7251 BASKETT, L
4109 BASRI, G
15247 BASRI, GS
6651 BASSANI, L
16293 BASSAN, M
15584 BASSETT, B
6320 BASSETT, BA
15713 BASSINO, LP
7854 BASTEROGIL, M
16333 BASTIAN, T
9584 BASTIEN, P
7250 BASU, A
4969 BASU, S
341 BATALHA, C
15246 BATALHA, CC
13692 BATE, C
6714 BATE, M
2440 BATE, MR
14845 BATES, JA
15800 BATESON, FM
4044 BATRA, A
3204 BATTANER, E
16690 BATTINELLI, P
10478 BATTISTONI, G
4075 BATTISTONI, RT
7568 BATTISTON, R
3618 BATTYE, RA
10900 BATUSKI, D
13787 BATUSKI, DJ
6609 BATZ, BD
16496 BAUDIS, L
3371 BAUDRAND, J
8749 BAUDRY, A
8768 BAUER, D
5263 BAUER, F
14484 BAUER, FE
12591 BAUER, JM
16019 BAUER, P
7731 BAUGH, C
2149 BAUGH, CM
13432 BAUGH, KE
7276 BAULEO, P
14511 BAUMANN, T
12169 BAUMGARDT, H
5612 BAUMGARTE, TW
2920 BAUMGARTNER, WH
7371 BAUM, JFGSA
11626 BAUM, S
2844 BAUM, SA
3125 BAUM, WA
4156 BAUROV, YA
11442 BAUSHEV, AN
14253 BAUTISTA, M
7916 BAUTISTA, MA
2578 BAUTISTA, R
15174 BAUTZ, M
4752 BAUTZ, MW
6587 BAVDAZ, M
705 BAYKA, A
6146 BAYKAL, A
4437 BAYM, G
5824 BAZAN, G
4384 BAZEIA, D
6516 BAZERBACHI, R
8704 BAZZANO, A
13737 B, BR
4166 BEACOM, JF
15086 BEALL, J
9154 BEALL, JH
7761 BEAN, A
14833 BEAN, R
7386 BEARDMORE, AP
3564 BEASLEY, AJ
13655 BEASLEY, M
14462 BEASLEY, MA
6046 BEATTY, JJ
5862 BEAUCHAMP, D
9882 BEAUCHEMIN, M
796 BEAULIEU, JP
11972 BEAULIEU, MJGJP
3055 BEAULIEU, S
5771 BEAULIEU, SF
6510 BEAVER, EA
16376 BECATTINI, F
7844 BECCARIA, M
4548 BECCIANI, U
2401 BECHTOLD, J
15567 BEC, J
10536 BECKEN, W
1899 BECKER, A
4096 BECKER, AC
5029 BECKER, CM
14706 BECKER, GD
2999 BECKER, PA
11408 BECKER, R
2124 BECKER, RH
7129 BECKERT, T
10 BECKER, W
16664 BECKETT, MG
14547 BECK, F
8855 BECKLIN, E
10757 BECKLIN, EE
1883 BECKMAN, A
9355 BECKMAN, J
383 BECKMAN, JE
4208 BECKMAN, JHKJE
16579 BECKMANN, U
9587 BECKMANN, V
8288 BECK, R
6498 BECK, SC
8295 BECK, T
8087 BECK, TL
15238 BECKWITH, ANMRMSVW
15864 BECKWITH, MRMSVW
4580 BECKWITH, SVW
6920 BECQUAERT, J
6153 BECQUAERT, JF
809 BEDDING, TR
16063 BEDINI, L
4434 BEDNAREK, I
2988 BEDNAREK, W
4453 BEDNARZ, J
189 BEEKMAN, G
2496 BEER, H
11481 BEERS, LWDRTGJRTC
11587 BEERS, T
4903 BEERS, TC
10419 BEGAM, MC
7538 BEGELMAN, M
1465 BEGELMAN, MC
16284 BEHAR, E
14027 BEHAR, S
12946 BEHR, BB
11091 BEICHMAN, C
4953 BEICHMAN, CA
14633 BEIJERSBERGEN, M
9968 BEIJING, G
9337 BEINTEMA, DA
8256 BEISBART, C
8471 BEISSER, KB
11871 BEJAR, VJS
6127 BEKARIAN, KM
3301 BEKENSTEIN, JD
9762 BEKKI, K
12980 BELAYEV, WB
8380 BELCZYNSKI, K
11974 BELIEN, AJC
3213 BELLANDI, J
1748 BELLAZZINI, M
10343 BELL, EF
9719 BELLE, GTV
8239 BELLE, KE
5429 BELLI, P
5470 BELL, J
1182 BELL, JF
6264 BELL, MB
10255 BELL, NF
5558 BELLONI, P
232 BELLONI, T
7302 BELLOTTI, E
363 BELL, RA
2978 BELOBORODOV, AM
9283 BELOLAPTIKOV, IA
10621 BELOTSKY, KM
15022 BELOV, K
11249 BELSOLE, E
9352 BELTRAN, JCV
4394 BELYAEV, VB
9598 BEMMEL, IMV
13606 BENABED, K
11621 BENACQUISTA, MJ
13192 BENAGLIA, P
9689 BENAKLI, K
13740 BENBOW, W
5519 BENDER, BLZR
3691 BENDER, R
15155 BENDINELLI, O
16404 BENDO, GJ
3254 BENEDICT, GF
4967 BENENSOHN, JS
7355 BENESH, CJ
3929 BENETTI, S
16503 BENEVIDESSOARES, P
11549 BENEVOLENSKAYA, EE
7467 BENFORD, DJ
1127 BENITEZ, N
7721 BENJAFFEL, L
5352 BENJAMIN, RA
16604 BENLLOCH, S
9435 BENNACEUR, K
9253 BENN, C
8116 BENN, CR
9553 BENNETT, C
656 BENNETT, CL
1722 BENNETT, D
208 BENNETT, DP
5441 BENNETT, JR
8332 BENNETT, JRV
3609 BENNETT, K
9842 BENNETT, SM
5398 BENNETT, TMCDP
3888 BENOIST, C
11057 BENOIT, A
15432 BENONI, T
3842 BENSADOUN, M
16247 BENSAMMAR, S
14784 BENSON, A
11234 BENSON, AJ
13652 BENSON, P
6582 BENSON, PJ
14339 BENTO, L
9996 BENTOLILA, C
13474 BENTO, MC
14124 BENVENUTO, O
11873 BENVENUTO, OG
15334 BENZ, AO
1687 BENZ, W
8903 BERCZIK, P
15872 BERENGUT, JC
10367 BERENTZEN, I
59 BERERA, A
6119 BERESNYAK, AR
4261 BEREZHIANI, VI
9697 BEREZHIANI, Z
2647 BEREZHIANI, ZG
6854 BEREZHKO, EG
12729 BEREZHNOY, A
7594 BEREZIN, AV
1101 BEREZINSKY, V
787 BEREZINSKY, VS
1009 BERG, D
8993 BERGE, L
16035 BERGER, E
9579 BERGERET, H
549 BERGER, J
11088 BERGER, JP
4284 BERGER, M
1585 BERGERON, J
16037 BERGERON, L
