Label,Type,Tags,Description,Coaching Year Retired,Coaching Year Started,Current Position,First,Last,Playing Year Retired,Playing Year Started College,Wikipedia info,closeness,metrics::last,year retired
Jerry Burns,Coach,,,,,,,,,,,0.2330618731738141,0.2330618731738141,
Bob Tyler,Coach,,,,,,,,,,,0.2224966437653013,0.2224966437653013,
Scott Linehan,,,,,,,,,,,,0.20380044223327878,0.20380044223327878,
George Barclay,Coach,,,,,,,,,,,0.19273375187554329,0.19273375187554329,
Lou Tepper,,,,,,,,,,,,,,
Bill Callahan,Coach,,,,1980,,,,,,,0.22041882937405402,0.22041882937405402,
Wade Phillips,Coach,,,,1969,,,,,,,0.2803907052041381,0.2803907052041381,
John McVay,Coach,,,1978,1953,,,,,,,0.26470228223959585,0.26470228223959585,
Marv Levy,,,,,,,,,,,,0.2698511411197978,0.2698511411197978,
Pat Shurmur,Coach,,,,1988,,,,,,,0.2402610863431764,0.2402610863431764,
Bob Neyland,Coach,,,1952,1919,,,,,,,0.1853066916499757,0.1853066916499757,
Ty Willingham,,,,,,,,,,,,,,
Barry Alvarez,Coach,,,2014,1971,,,,,,,0.22932667111771654,0.22932667111771654,
Don Coryell,Coach,,,,,,,,,,,0.2536000552791602,0.2536000552791602,
Bob Shoop,,,,,1989,,,,,,,,,
Sam Sanders,,,,,,,,,,,,,,
Knute Rockne,Coach,,,1930,1914,,,,,,,0.1918000186656906,0.1918000186656906,
John L. Smith,,,,,,,,,,,,0.16685134931403614,0.16685134931403614,
Bum Phillips,Coach,,,,,,,,,,,0.24591723920082154,0.24591723920082154,
Rich Kotite,,,,,,,,,,,,,,
Joe Tiller,,,,,,,,,,,,,,
Don Brown,,,,,,,,,,,,,,
Carl Pelini,,,,,,,,,,,,,,
Stan Parrish,Coach,,,,,,,,,,,0.22041882937405402,0.22041882937405402,
Jim Young,Coach,,,1994,1957,,,,,,,0.2687435836689572,0.2687435836689572,
Ted Marchibroda,Coach,,,1998,1961,,,,,,,0.28746248914159356,0.28746248914159356,
Ray Perkins,Coach,,,,,,,,,,,0.240953960356946,0.240953960356946,
Steve Fairchild,,,,,,,,,,,,,,
Harry McCrory,Coach,,,,,,,,,,,0.16051111685440095,0.16051111685440095,
Jon Gruden,Coach,,,,1986,,,,,,,0.2968026928847825,0.2968026928847825,
Vince Lombardi,Coach,,,1969,1939,,,,,,,0.21082789515625397,0.21082789515625397,
Mark Mangino,Coach,,,,,,,,,,,0.20791882937405406,0.20791882937405406,
Adam Gase,Coach,LSU|49ers|Lions|Broncos|Dolphins|Jets,,,2000,HC of the NYJ,,,,,,0.293333925610045,0.293333925610045,
Rick Rasnik,,,,,,,,,,,,,,
Lindy Infante,Coach,,,,,,,,,,,0.25718332938482213,0.25718332938482213,
Tommy Prothro,Coach,,,1978,1942,,,,,,,0.2149708707544536,0.2149708707544536,
Ray Rhodes,Coach,,,,,,,,,,,0.2651939616491858,0.2651939616491858,
Danny Hope,,,,,,,,,,,,,,
Clipper Smith,Coach,,,,,,,,,,,0.15773220008294686,0.15773220008294686,
George Mans,Coach,,,,,,,,,,,0.242715983574193,0.242715983574193,
Nick Saban,Coach,,,,1973,,,,,,,0.3560175313906653,0.3560175313906653,
Kliff Kingsbury,Coach,,,,2008,,,,,,,0.25260404327568564,0.25260404327568564,
Dave Cohen,,,,,,,,,,,,,,
Larry Lacewell,,,,,,,,,,,,,,
Walt Harris,Coach,,,,,,,,,,,0.2330618731738141,0.2330618731738141,
Major Applewhite,Coach,,,,2003,,,,,,,0.2862621416725897,0.2862621416725897,
Sylvester Croom,,,,,,,,,,,,,,
Buck Shaw,Coach,,,1960,1924,,,,,,,0.19125216270738718,0.19125216270738718,
Jim Root,,,,,,,,,,,,,,
Lucius N. Littauer,Coach,,,1881,1881,,,,,,,0.10502425297201477,0.10502425297201477,
Ron Rivera,Coach,,,,,,,,,,,0.24530728392668733,0.24530728392668733,
Eddie Erdelatz,Coach,,,,,,,,,,,0.16629164782149897,0.16629164782149897,
Karl Dorrell,,,,,,,,,,,,,,
Leon Burtnett,,,,,,,,,,,,,,
Chuck Noll,Coach,,,1991,1960,,,,,,,0.2721501618889679,0.2721501618889679,
Dan Quinn,Coach,,,,1994,,,,,,,0.3144367448471922,0.3144367448471922,
Darrell Hazell,,,,,,,,,,,,,,
Bill Snyder,Coach,,,2018,1962,,,,,,,0.22054913025062367,0.22054913025062367,
Bill Cowher,Coach,,,2006,1985,,,,,,,0.29982626549790736,0.29982626549790736,
Hayden Fry,Coach,Iowa,,1998,1956,Retired,Hayden,Fry,,,Yes,0.27241866066492987,0.27241866066492987,
Dale Lindsey,Coach,,,,,,,,,,,0.22104762981628726,0.22104762981628726,
"Robert S. ""Bob"" Carlson",Coach,,,,,,,,,,,0.1794954699805449,0.1794954699805449,
Dan Enos,Coach,,,,1991,,,,,,,0.2579246624022749,0.2579246624022749,
Paul Haynes,,,,,,,,,,,,,,
Mike Ditka,Coach,,,1999,1973,,,,,,,0.2780749032614704,0.2780749032614704,
Mike Martz,,,,,,,,,,,,0.21936852533867532,0.21936852533867532,
Paul Hackett,Coach,,,,,,,,,,,0.22841653923743527,0.22841653923743527,
Bobby Dodd,Coach,,,,,,,,,,,0.20971145355473778,0.20971145355473778,
Bruce Arians,Coach,,,,1975,,,,,,,0.29876609018400074,0.29876609018400074,
Johnny Majors,Coach,,,,,,,,,,,0.18886331330361203,0.18886331330361203,
Pepper Rodgers,Coach,,,1995,1958,,,,,,,0.2272586382661017,0.2272586382661017,
Frank Broyles,Coach,,,1976,1950,,,,,,,0.24101614941167254,0.24101614941167254,
George A. Stewart,Coach,,,,,,,,,,,0.13313958705749807,0.13313958705749807,
Marty Mornhinweg,Coach,,,2018,1985,,,,,,,0.2266879886282878,0.2266879886282878,
Danny Ford,,,,,,,,,,,,,,
Paul Johnson,,,,,,,,,,,,,,
Dave Wannstedt,Coach,,,,,,,,,,,0.20433743978520158,0.20433743978520158,
Tommy Hudspeth,Coach,,,,,,,,,,,0.240953960356946,0.240953960356946,
Matt Patricia,Coach,,,,,,,,,,,0.24095396035694602,0.24095396035694602,
Jackie Sherrill,Coach,,,,,,,,,,,0.22249664376530132,0.22249664376530132,
Justin Wilcox,Coach,,,,,,,,,,,0.1803601939795974,0.1803601939795974,
Art Shell,Coach,,,2006,1983,,,,,,,0.23768854141988527,0.23768854141988527,
Bobby Ross,,,,,,,,,,,,0.20858711493039936,0.20858711493039936,
Ken Niumatalolo,,,,,,,,,,,,,,
Gary Gibbs,,,,,,,,,,,,,,
Rick Venturi,,,,,,,,,,,,,,
Josh Gattis,Coach,,,,2010,,,,,,,0.288844468135513,0.288844468135513,
Glen Mason,Coach,,,2006,1972,,,,,,,0.2584024322830299,0.2584024322830299,
Fritz Crisler,Coach,,,1947,1922,,,,,,,0.17961482271183776,0.17961482271183776,
Chuck Pagano,Coach,,,,,,,,,,,0.25077193398088965,0.25077193398088965,
Freddie Kitchens,Coach,,,,1999,,,,,,,0.29717187870172956,0.29717187870172956,
Dewey King,Coach,,,,,,,,,,,0.214236357893075,0.214236357893075,
Dan McGugin,Coach,,,,,,,,,,,0.16051111685440092,0.16051111685440092,
Doc Urich,,,,,,,,,,,,,,
Alexander S. Lilley,Coach,Ohio State|Ohio Wesleyan,,1892,1890,,,,1890,,,0.1378789949685477,0.1378789949685477,
Gary Moeller,Coach,,,2003,1967,,,,,,,0.2638069572771069,0.2638069572771069,
Rod Marinelli,Coach,,,,1973,,,,,,,0.27248381110321424,0.27248381110321424,
Galen Hall,,,,,,,,,,,,,,
John Barnhill,Coach,,,,,,,,,,,0.17817561791442435,0.17817561791442435,
Urban Meyer,Coach,,,,1985,,,,,,,0.26829049198452226,0.26829049198452226,
Charlie Sadler,,,,,,,,,,,,,,
Frank Wilson,Coach,,,,,,,,,,,0.20805900152915147,0.20805900152915147,
Frank Leahy,,,,1953,1931,,,,,,,0.17079486295904242,0.17079486295904242,
Jeff Choate,Coach,,,,,,,,,,,0.20715577954384,0.20715577954384,
Curtis Johnson,Coach,,,,,,,,,,,0.21037875198323017,0.21037875198323017,
Ernie Nevers,Coach,,,,,,,,,,,0.14943536286819917,0.14943536286819917,
Joker Phillips,,,,,,,,,,,,,,
Emory Bellard,Coach,,,,,,,,,,,0.22249664376530132,0.22249664376530132,
Joe Galat,,,,,,,,,,,,,,
Andy Gustafson,Coach,Pittsburgh|Dartmouth|Army|Miami (FL),,1963,1926,,,,1925,1923,,0.2110341151385936,0.2110341151385936,
Matt Campbell,,,,,,,,,,,,,,
Brady Hoke,Coach,,,,,,,,,,,0.19579492508597035,0.19579492508597035,
Ron English,,,,,,,,,,,,,,
Bump Elliott,Coach,,,1968,1948,,,,,,,0.21147536128879502,0.21147536128879502,
George Perles,Coach,,,,,,,,,,,0.2533641317223412,0.2533641317223412,
Hugh Freeze,,,,,,,,,,,,,,
Bill O'Brien,Coach,,,,1993,,,,,,,0.24576324725578522,0.24576324725578522,
Bear Bryant,Coach,,,1982,1936,,,,,,,0.24788162362789284,0.24788162362789284,
"Frank ""Shorty"" Longman",Coach,,,,,,,,,,,0.1548766808095171,0.1548766808095171,
Mike Leach,Coach,,,,1987,,,,,,,0.24192233278054243,0.24192233278054243,
Elliot Uzelac,Coach,,,,,,,,,,,0.242715983574193,0.242715983574193,
Mike Vrabel,Coach,,,,2011,,,,,,,0.2658295822474931,0.2658295822474931,
Pat Narduzzi,Coach,,,,,,,,,,,0.21716220484877274,0.21716220484877274,
Howard Schnellenberger,,,,,,,,,,,,,,
Bill Edwards,Coach,,,1968,1931,,,,,,,0.19273375187554329,0.19273375187554329,
Tony Sparano,Coach,,,,,,,,,,,0.2535783384663986,0.2535783384663986,
Jim Ragland,,,,,,,,,,,,0.20950900260601835,0.20950900260601835,
Mario Cristobal,Coach,,,,,,,,,,,0.20433743978520155,0.20433743978520155,
Tom Landry,Coach,,,1988,1954,,,,,,,0.2596195609255314,0.2596195609255314,
Bob Diaco,Coach,,,,1996,,,,,,,0.20685667980444178,0.20685667980444178,
Ken Whisenhunt,Coach,,,,1995,,,,,,,0.2706359077627737,0.2706359077627737,
Bill Peterson,Coach,,,1973,1949,,,,,,,0.20649727552712713,0.20649727552712713,
Joe Novak,Coach,,,2007,1972,,,,,,,0.26272012951117457,0.26272012951117457,
Marc Trestman,Coach,,,,,,,,,,,0.22041882937405397,0.22041882937405397,
Tom Flores,Coach,,,,,,,,,,,0.2192875808547457,0.2192875808547457,
Gunther Cunningham,Coach,,,,,,,,,,,0.22939873145097095,0.22939873145097095,
"William ""Bill"" Alexander",Coach,,,1944,1920,,,,,,,0.1971117536416049,0.1971117536416049,
Mike Tomlin,Coach,,,,1995,,,,,,,0.2840924346521363,0.2840924346521363,
Mike Locksley,Coach,,,,1992,,,,,,,0.2616352760009481,0.2616352760009481,
Bill Battle,,,,1976,1964,,,,,,,,,
Rick Forzano,Coach,,,1976,1951,,,,,,,0.25713792150359366,0.25713792150359366,
Jim Ward,,,,,,,,,,,,,,
Greg McMackin,,,,,,,,,,,,,,
Larry Jones,Coach,,,,,,,,,,,0.1992290531469643,0.1992290531469643,
Jim Thorpe,Coach,,,1926,1915,,,,,,,0.14943536286819917,0.14943536286819917,
Chuck Knox,Coach,,,,,,,,,,,0.2292210484374669,0.2292210484374669,
Tom Herman,Coach,,,,1998,,,,,,,0.24316315249151157,0.24316315249151157,
Lloyd Carr,Coach,,,2007,1968,,,,,,,0.2456181394614235,0.2456181394614235,
Bo Rein,Coach,,,1979,1969,,,,,,,0.22897615099107704,0.22897615099107704,
Ron Prince,Coach,,,,,,,,,,,0.23360084498144254,0.23360084498144254,
Lou Holtz,Coach,,,2004,1960,,,,,,,0.2826532022427546,0.2826532022427546,
George Brugel,Coach,,,,,,,,,,,0.22897615099107704,0.22897615099107704,
Moe Ankney,,,,,,,,,,,,,,
Mike McCoy,Coach,,,,,,,,,,,0.19194808784361067,0.19194808784361067,
Jim McElwain,Coach,,,,,,,,,,,0.23708540630182473,0.23708540630182473,
Dennis Green,Coach,,,2011,1972,,,,,,,0.27681631524915135,0.27681631524915135,
Dirk Koetter,Coach,,,,1983,,,,,,,0.2680387743820583,0.2680387743820583,
Steve Belichick Jr.,Coach,,,,,,,,,,,0.24095396035694602,0.24095396035694602,
Harry J. Mehre,Coach,,,,,,,,,,,0.1691534212056604,0.1691534212056604,
George Chaump,Coach,,,,,,,,,,,0.22897615099107704,0.22897615099107704,
Doug Pederson,Coach,,,,,,,,,,,0.2248549819445348,0.2248549819445348,
Frank A. Mason,Coach,,,,,,,,,,,0.11866299814061078,0.11866299814061078,
Vance Joseph,Coach,,,,,,,,,,,0.250593263839533,0.250593263839533,
Jeff Fisher,Coach,,,2016,1985,,,,,,,0.2530926715628212,0.2530926715628212,
Herm Edwards,Coach,,,,1987,,,,,,,0.2630547658532737,0.2630547658532737,
Bill Walsh,Coach,,,1994,1960,,,,,,,0.2959883124062228,0.2959883124062228,
Tyrone Wheatley,Coach,,,,2007,,,,,,,0.24633084577114478,0.24633084577114478,
Jim L Mora,Coach,,,2017,1984,,,,,,,0.2670022901366187,0.2670022901366187,
David Cutcliffe,,,,,,,,,,,,,,
Hal Mumme,Coach,,,,,,,,,,,0.18900151120300424,0.18900151120300424,
Charles McClendon,,,,,,,,,,,,,,
Charlie Taafe,,,,,,,,,,,,,,
Trent Miles,,,,,,,,,,,,,,
Brent Guy,Coach,,,,,,,,,,,0.20625246781963277,0.20625246781963277,
Ed Orgeron,Coach,,,,1984,,,,,,,0.2722557845692174,0.2722557845692174,
Weeb Ewbank,,,,,,,,,,,,0.2011106085732959,0.2011106085732959,
E.O. “Woody” Wagenhorst,Coach,,,,,,,,,,,0.13915840240467162,0.13915840240467162,
Ralph Staub,Coach,,,,,,,,,,,0.22897615099107704,0.22897615099107704,
Mike White,Coach,,,,,,,,,,,0.20786157595859164,0.20786157595859164,
David Shaw,Coach,,,,1995,,,,,,,0.2611555318644873,0.2611555318644873,
Jim Caldwell,Coach,,,,,,,,,,,0.2506338258203934,0.2506338258203934,
Kirk Ferentz,Coach,,,,,,,,,,,0.25796710889994523,0.25796710889994523,
Woody Hayes,Coach,,,1978,1946,,,,,,,0.31333017452420425,0.31333017452420425,
Forrest Gregg,,,,,,,,,,,,0.21323155147782064,0.21323155147782064,
Ron McBride,,,,,,,,,,,,,,
Jim Fassel,Coach,,,,,,,,,,,0.2742191818684358,0.2742191818684358,
Jim Hillis,,,,,,,,,,,,,,
"George ""Kid"" Woodruff",Coach,,,,,,,,,,,0.1691534212056604,0.1691534212056604,
Mark Whipple,Coach,,,,,,,,,,,0.18970533336205034,0.18970533336205034,
Don James,Coach,,,1992,1956,,,,,,,0.2676439232409386,0.2676439232409386,
Paul Schudel,Coach,,,,,,,,,,,0.242715983574193,0.242715983574193,
Pete Carroll,Coach,,,,1973,,,,,,,0.31682756850667265,0.31682756850667265,
Frank Gansz,,,,,,,,,,,,,,
Kevin Wilson,Coach,,,,,,,,,,,0.2079188293740541,0.2079188293740541,
Mike Pettine,Coach,,,,1993,,,,,,,0.249952617863066,0.249952617863066,
Ara Parseghian,Coach,Miami (OH)|Northwestern|Notre Dame|Browns,,1974,1950,,,,1949,1946,,0.259720247966517,0.259720247966517,
Doug Graber,,,,,,,,,,,,,,
Andy Reid,Coach,BYU|UTEP|Missouri|Packers|Eagles|Chiefs,,,1982,KC Head Coach,,,,,,0.28309355100399897,0.28309355100399897,
Brad Lambert,,,,,,,,,,,,,,
Romeo Crennel,Coach,,,,1970,,,,,,,0.2645591487009402,0.2645591487009402,
Dick LeBeau,Coach,,,10`7,1973,,,,,,,0.2582079680960282,0.2582079680960282,
George Adams,Coach,,,,,,,,,,,0.13479796185020124,0.13479796185020124,
Ed Biles,,,,,,,,,,,,,,
Jimbo Fisher,Coach,,,,1988,,,,,,,0.20805900152915147,0.20805900152915147,
Jack Marks,Coach,,,,,,,,,,,0.15487668080951714,0.15487668080951714,
Gus Bradley,Coach,,,,,,,,,,,0.22938886017244303,0.22938886017244303,
Vic Fangio,Coach,,,,1978,,,,,,,0.282355089631209,0.282355089631209,
Matt LaFleur,Coach,,,,2003,,,,,,,0.2615622285398408,0.2615622285398408,
Jim Tomsula,Coach,,,,,,,,,,,0.23708540630182473,0.23708540630182473,
George Halas,Coach,,,1967,1920,,,,,,,0.22877486664800148,0.22877486664800148,
Jonathan Smith,Coach,,,,,,,,,,,0.1803601939795974,0.1803601939795974,
Dana Dimel,,,,,,,,,,,,,,
Charlie Weis,Coach,,,,,,,,,,,0.2573452183526816,0.2573452183526816,
Ed Chlebek,,,,,,,,,,,,,,
Mike Neu,Coach,,,,,,,,,,,0.2103787519832302,0.2103787519832302,
David Bailiff,Coach,,,,,,,,,,,0.1918492853194351,0.1918492853194351,
Frank Maloney,Coach,,,1980,1968,,,,,,,0.2873223169864962,0.2873223169864962,
Jack Del Rio,Coach,,,2017,1997,,,,,,,0.2807046118613283,0.2807046118613283,
"Harold ""Red"" Drew",Coach,,,,,,,,,,,0.1691534212056604,0.1691534212056604,
Don Nehlen,Coach,,,,,,,,,,,0.242715983574193,0.242715983574193,
Rip Scherer,,,,,,,,,,,,,,
Jay Harbaugh,Coach,,,,2008,,,,,,,0.23708540630182473,0.23708540630182473,
Tim Rose,,,,,,,,,,,,,,
Jesse Harper,Coach,,,1917,1906,,,,,,,0.16379421435391633,0.16379421435391633,
Bobby Bowden,Coach,,,,,,,,,,,0.17536335278872617,0.17536335278872617,
Marty Schottenheimer,Coach,,,2011,1974,,,,,,,0.2951976229961305,0.2951976229961305,
Bobby Hauck,,,,,,,,,,,,,,
Bill Parcells,Coach,,,2006,1964,,,,,,,0.30478954434178335,0.30478954434178335,
Jim Leavitt,Coach,,,,,,,,,,,0.20685667980444178,0.20685667980444178,
Jay Norvell,Coach,,,,,,,,,,,0.20685667980444178,0.20685667980444178,
Al Davis,Coach,Colts|The Citadel|USC|Chargers|Raiders,,1965,1950,,,,,,,0.27606511095317066,0.27606511095317066,
Eddie Crowder,Coach,,,,,,,,,,,0.20649727552712713,0.20649727552712713,
